position,full_name,gsis_id,team,Total_touches,Total_HVT,TRAP,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,HVT_perc,rank,pos_rank,ATT,rush_yds,Y/A,LG,20+,rush_TD,REC,TGT,rec_yds,Y/R,rec_TD,FL,HVT_per_game,Touches_per_game
RB,Rashaad Penny,00-0034750,PHI,12,1,0.9166666666666666,4.8,6.84,3,2023,1.6,2.28,0.08333333333333337,Other,123,11,33,3,7,0,0,1,1,5,5,0,0,0.3333333333333333,4
RB,Alex Armah,00-0033296,WAS,3,3,0,4.3,4.74,3,2023,1.4333333333333331,1.58,1,Other,125,0,0,0,0,0,0,3,3,13,4.3,0,0,1,1
RB,Jashaun Corbin,00-0037410,NYG,4,4,0,4.3,4.36,1,2023,4.3,4.36,1,Other,124,1,1,1,1,0,0,3,3,12,4,0,0,4,4
RB,Leonard Fournette,00-0033856,BUF,12,2,0.8333333333333334,4,8.91,2,2023,2,4.455,0.16666666666666663,Other,126,12,40,3.3,9,0,0,0,0,0,0,0,0,1,6
RB,Deon Jackson,00-0036493,NYG,19,7,0.631578947368421,4,18.66,2,2023,2,9.33,0.368421052631579,Other,127,14,16,1.1,7,0,0,5,6,14,2.8,0,2,3.5,9.5
RB,Elijah Dotson,00-0038862,LAC,6,2,0.6666666666666666,3.9,4.970000000000001,1,2023,3.9,4.970000000000001,0.33333333333333337,Other,128,4,6,1.5,2,0,0,2,2,13,6.5,0,0,2,6
RB,Jake Funk,00-0036860,DET,3,1,0.6666666666666666,3.2,2.49,1,2023,3.2,2.49,0.33333333333333337,Other,129,2,10,5,7,0,0,1,1,12,12,0,0,1,3
RB,Kenyan Drake,00-0033118,GB,4,2,0.5,3.1,5.130000000000001,2,2023,1.55,2.5650000000000004,0.5,Other,130,2,0,0,0,0,0,2,3,31,15.5,0,1,1,2
RB,Anthony McFarland,00-0036336,PIT,2,2,0,3.1,2.93,1,2023,3.1,2.93,1,Other,131,0,0,0,0,0,0,2,2,11,5.5,0,0,2,2
RB,Bam Knight,00-0037157,DET,4,1,0.75,3.1,3.28,2,2023,1.55,1.64,0.25,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2
RB,Derrick Gore,00-0035715,WAS,3,1,0.6666666666666666,2.5999999999999996,3.72,2,2023,1.2999999999999998,1.86,0.33333333333333337,Other,133,3,26,8.7,23,1,0,0,0,0,0,0,0,0.5,1.5
RB,Adam Prentice,00-0036727,NO,4,2,0.5,2.4,5.390000000000001,2,2023,1.2,2.6950000000000003,0.5,Other,134,2,12,6,7,0,0,2,3,12,6,0,1,1,2
