position,full_name,gsis_id,team,Total_touches,Total_HVT,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,Touch_type,percentage,label_y,Rank
RB,Alexander Mattison,00-0034972,MIN,210,42,133.2,182.52,16,2023,8.325,11.4075,TRAP,0.8,0.4,Other
RB,Alexander Mattison,00-0034972,MIN,210,42,133.2,182.52,16,2023,8.325,11.4075,HVT_perc,0.19999999999999996,0.9,Other
RB,Antonio Gibson,00-0036328,WAS,113,49,127.39999999999999,121.53,16,2023,7.9624999999999995,7.595625,TRAP,0.5663716814159292,0.2831858407079646,Other
RB,Antonio Gibson,00-0036328,WAS,113,49,127.39999999999999,121.53,16,2023,7.9624999999999995,7.595625,HVT_perc,0.4336283185840708,0.7831858407079646,Other
RB,Samaje Perine,00-0033526,DEN,103,57,121.3,110.47,17,2023,7.135294117647058,6.498235294117647,TRAP,0.44660194174757284,0.22330097087378642,Other
RB,Samaje Perine,00-0033526,DEN,103,57,121.3,110.47,17,2023,7.135294117647058,6.498235294117647,HVT_perc,0.5533980582524272,0.7233009708737864,Other
RB,Kareem Hunt,00-0033923,CLE,150,30,118.5,120.44,15,2023,7.9,8.029333333333334,TRAP,0.8,0.4,Other
RB,Kareem Hunt,00-0033923,CLE,150,30,118.5,120.44,15,2023,7.9,8.029333333333334,HVT_perc,0.19999999999999996,0.9,Other
RB,AJ Dillon,00-0036265,GB,200,40,117.6,146.34,15,2023,7.84,9.756,TRAP,0.8,0.4,Other
RB,AJ Dillon,00-0036265,GB,200,40,117.6,146.34,15,2023,7.84,9.756,HVT_perc,0.19999999999999996,0.9,Other
RB,Khalil Herbert,00-0036906,CHI,152,25,112.5,122.82,12,2023,9.375,10.235,TRAP,0.8355263157894737,0.41776315789473684,Other
RB,Khalil Herbert,00-0036906,CHI,152,25,112.5,122.82,12,2023,9.375,10.235,HVT_perc,0.16447368421052633,0.9177631578947368,Other
RB,Justice Hill,00-0034975,BAL,112,39,109.3,115.88000000000001,16,2023,6.83125,7.242500000000001,TRAP,0.6517857142857143,0.32589285714285715,Other
RB,Justice Hill,00-0034975,BAL,112,39,109.3,115.88000000000001,16,2023,6.83125,7.242500000000001,HVT_perc,0.3482142857142857,0.8258928571428572,Other
RB,Zach Charbonnet,00-0039165,SEA,141,46,106.1,122.54,16,2023,6.63125,7.65875,TRAP,0.6737588652482269,0.33687943262411346,Other
RB,Zach Charbonnet,00-0039165,SEA,141,46,106.1,122.54,16,2023,6.63125,7.65875,HVT_perc,0.3262411347517731,0.8368794326241135,Other
RB,Jaleel McLaughlin,00-0038794,DEN,107,35,106,94.96000000000001,17,2023,6.235294117647059,5.5858823529411765,TRAP,0.6728971962616822,0.3364485981308411,Other
RB,Jaleel McLaughlin,00-0038794,DEN,107,35,106,94.96000000000001,17,2023,6.235294117647059,5.5858823529411765,HVT_perc,0.3271028037383178,0.8364485981308412,Other
RB,Roschon Johnson,00-0039021,CHI,115,41,102.1,107.97,15,2023,6.806666666666667,7.1979999999999995,TRAP,0.6434782608695652,0.3217391304347826,Other
RB,Roschon Johnson,00-0039021,CHI,115,41,102.1,107.97,15,2023,6.806666666666667,7.1979999999999995,HVT_perc,0.35652173913043483,0.8217391304347825,Other
RB,Ty Chandler,00-0037276,MIN,123,26,101,94.42,13,2023,7.769230769230769,7.263076923076923,TRAP,0.7886178861788617,0.3943089430894309,Other
RB,Ty Chandler,00-0037276,MIN,123,26,101,94.42,13,2023,7.769230769230769,7.263076923076923,HVT_perc,0.21138211382113825,0.8943089430894309,Other
RB,Kenneth Gainwell,00-0036919,PHI,114,40,97.38,112.45,16,2023,6.08625,7.028125,TRAP,0.6491228070175439,0.32456140350877194,Other
RB,Kenneth Gainwell,00-0036919,PHI,114,40,97.38,112.45,16,2023,6.08625,7.028125,HVT_perc,0.3508771929824561,0.8245614035087719,Other
RB,Rico Dowdle,00-0036139,DAL,106,23,91.5,93.84,16,2023,5.71875,5.865,TRAP,0.78301886792452835,0.3915094339622642,Other
RB,Rico Dowdle,00-0036139,DAL,106,23,91.5,93.84,16,2023,5.71875,5.865,HVT_perc,0.21698113207547165,0.8915094339622642,Other
RB,D'Onta Foreman,00-0033925,CHI,120,21,91.2,90.46,9,2023,10.133333333333333,10.05111111111111,TRAP,0.825,0.4125,Other
RB,D'Onta Foreman,00-0033925,CHI,120,21,91.2,90.46,9,2023,10.133333333333333,10.05111111111111,HVT_perc,0.17500000000000004,0.9125,Other
RB,Miles Sanders,00-0035243,CAR,156,34,87.60000000000001,125.17999999999999,16,2023,5.4750000000000005,7.8237499999999995,TRAP,0.782051282051282,0.391025641025641,Other
RB,Miles Sanders,00-0035243,CAR,156,34,87.60000000000001,125.17999999999999,16,2023,5.4750000000000005,7.8237499999999995,HVT_perc,0.21794871794871795,0.891025641025641,Other
RB,Jerick McKinnon,00-0031376,KC,46,26,84.36,66.51,12,2023,7.03,5.5425,TRAP,0.43478260869565216,0.21739130434782608,Other
RB,Jerick McKinnon,00-0031376,KC,46,26,84.36,66.51,12,2023,7.03,5.5425,HVT_perc,0.5652173913043479,0.717391304347826,Other
RB,Latavius Murray,00-0030513,BUF,96,34,82.9,101.06,15,2023,5.526666666666667,6.737333333333334,TRAP,0.6458333333333334,0.3229166666666667,Other
RB,Latavius Murray,00-0030513,BUF,96,34,82.9,101.06,15,2023,5.526666666666667,6.737333333333334,HVT_perc,0.35416666666666663,0.8229166666666667,Other
RB,Dameon Pierce,00-0037258,HOU,158,27,76.7,114.9,13,2023,5.9,8.838461538461539,TRAP,0.8291139240506329,0.41455696202531644,Other
RB,Dameon Pierce,00-0037258,HOU,158,27,76.7,114.9,13,2023,5.9,8.838461538461539,HVT_perc,0.1708860759493671,0.9145569620253164,Other
RB,Zamir White,00-0038040,LV,119,22,73.9,86.62,13,2023,5.684615384615385,6.663076923076924,TRAP,0.8151260504201681,0.40756302521008403,Other
RB,Zamir White,00-0038040,LV,119,22,73.9,86.62,13,2023,5.684615384615385,6.663076923076924,HVT_perc,0.18487394957983194,0.907563025210084,Other
RB,Emari Demercado,00-0038705,ARI,79,22,73.3,74.33,11,2023,6.663636363636363,6.757272727272727,TRAP,0.7215189873417721,0.36075949367088606,Other
RB,Emari Demercado,00-0038705,ARI,79,22,73.3,74.33,11,2023,6.663636363636363,6.757272727272727,HVT_perc,0.2784810126582279,0.860759493670886,Other
RB,Clyde Edwards-Helaire,00-0036360,KC,87,22,70.1,80.49,15,2023,4.673333333333333,5.366,TRAP,0.7471264367816092,0.3735632183908046,Other
RB,Clyde Edwards-Helaire,00-0036360,KC,87,22,70.1,80.49,15,2023,4.673333333333333,5.366,HVT_perc,0.25287356321839083,0.8735632183908046,Other
RB,Keaton Mitchell,00-0038454,BAL,56,9,69.9,41.64,7,2023,9.985714285714286,5.948571428571428,TRAP,0.8392857142857143,0.41964285714285715,Other
RB,Keaton Mitchell,00-0038454,BAL,56,9,69.9,41.64,7,2023,9.985714285714286,5.948571428571428,HVT_perc,0.1607142857142857,0.9196428571428572,Other
RB,Joshua Kelley,00-0036370,LAC,115,15,61.7,78.87,17,2023,3.6294117647058823,4.639411764705883,TRAP,0.8695652173913043,0.43478260869565216,Other
RB,Joshua Kelley,00-0036370,LAC,115,15,61.7,78.87,17,2023,3.6294117647058823,4.639411764705883,HVT_perc,0.13043478260869568,0.9347826086956521,Other
RB,Jamaal Williams,00-0033948,NO,124,25,60.8,84.02,13,2023,4.676923076923076,6.4630769230769225,TRAP,0.7983870967741935,0.39919354838709675,Other
RB,Jamaal Williams,00-0033948,NO,124,25,60.8,84.02,13,2023,4.676923076923076,6.4630769230769225,HVT_perc,0.2016129032258065,0.8991935483870968,Other
RB,Michael Carter,00-0036924,ARI,54,25,58.800000000000004,61.91,15,2023,3.9200000000000004,4.1273333333333335,TRAP,0.5370370370370371,0.26851851851851855,Other
RB,Michael Carter,00-0036924,ARI,54,25,58.800000000000004,61.91,15,2023,3.9200000000000004,4.1273333333333335,HVT_perc,0.4629629629629629,0.7685185185185186,Other
RB,Chase Brown,00-0038597,CIN,58,15,53.5,44.16,10,2023,5.35,4.4159999999999995,TRAP,0.7413793103448276,0.3706896551724138,Other
RB,Chase Brown,00-0038597,CIN,58,15,53.5,44.16,10,2023,5.35,4.4159999999999995,HVT_perc,0.2586206896551724,0.8706896551724138,Other
RB,Elijah Mitchell,00-0036567,SF,81,18,47.5,66.58,11,2023,4.318181818181818,6.052727272727273,TRAP,0.7777777777777778,0.3888888888888889,Other
RB,Elijah Mitchell,00-0036567,SF,81,18,47.5,66.58,11,2023,4.318181818181818,6.052727272727273,HVT_perc,0.2222222222222222,0.8888888888888888,Other
RB,Matt Breida,00-0033308,NYG,72,18,46.9,55.81,15,2023,3.1266666666666665,3.720666666666667,TRAP,0.75,0.375,Other
RB,Matt Breida,00-0033308,NYG,72,18,46.9,55.81,15,2023,3.1266666666666665,3.720666666666667,HVT_perc,0.25,0.875,Other
RB,Cam Akers,00-0036414,MIN,71,16,46.7,50.800000000000004,7,2023,6.671428571428572,7.257142857142858,TRAP,0.7746478873239436,0.3873239436619718,Other
RB,Cam Akers,00-0036414,MIN,71,16,46.7,50.800000000000004,7,2023,6.671428571428572,7.257142857142858,HVT_perc,0.22535211267605637,0.8873239436619718,Other
RB,Royce Freeman,00-0034838,LA,78,10,46.2,55.03,9,2023,5.133333333333334,6.114444444444445,TRAP,0.8717948717948718,0.4358974358974359,Other
